Scan,Type,BCID,sigma,sigmaErr,sigmaRatio,sigmaRatio_Err,Amp,AmpErr,Frac,FracErr,Mean,MeanErr,Const,ConstErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
1,X,51,0.12653860997730607,0.0002520668597006677,1.9999999999353315,1.4958824030898497,96.1371117061233,0.29254581140769886,0.006120543345370544,0.002697847413453802,-0.004216220583839268,0.00029736695202212576,0.4339830286318971,0.03909979462628038,0.12653860997730607,0.0002520668597006677,96.1371117061233,0.29254581140769886,30.493274541582416,0.11090505440686807,0,41.82797799627815,19
1,X,771,0.1254410145148454,0.00024290179267237683,1.999999999938364,1.4080415047347303,96.9026137413828,0.28830282464164725,0.012124318006814017,0.002760329621122687,-0.003530561713645839,0.0002838157630477228,0.40098487470477157,0.03874882469916924,0.1254410145148454,0.00024290179267237683,96.9026137413828,0.28830282464164725,30.469475846550566,0.10816140341471035,0,38.15047345390958,19
1,X,1631,0.12398494479484583,0.0002442436851930784,1.0000167037023677,0.019596811406234704,99.35043755746808,0.28962431185303217,0.990001019256433,0.7559324811790018,-0.003681587664931376,0.0003017605813097466,0.5824300208378095,0.02059510726530067,0.12398494479484583,0.0002442436851930784,99.35043755746808,0.28962431185303217,30.87654310170284,0.10863523365445259,0,32.30698673156085,19
1,X,2211,0.12406668374814242,0.00025639543517949577,0.5000000000005065,0.2725828489051285,98.70343976390286,0.3024909189004745,0.9922204535842096,0.0031235743709063235,-0.003029671814935574,0.00029279117919789923,0.5130396079402413,0.04649548331583542,0.12406668374814242,0.00025639543517949577,98.70343976390286,0.3024909189004745,30.695689696563896,0.11346139067400923,0,55.924223328805276,19
1,X,2674,0.12086310764939513,0.00025045754773615455,1.999999996135851,1.2277247682573755,104.6141415743855,0.3401619945035961,0.005890101100062106,0.0031551765960323164,-0.0051930924383444274,0.0003012135446595038,0.5859865003828033,0.04543828134569172,0.12086310764939513,0.00025045754773615455,104.6141415743855,0.3401619945035961,31.693783476725248,0.1222041092492621,0,49.4524078485446,19
1,X,sum,-0.00040971459658731486,0.00502725089401957,0.6261956727653571,0.09912802556502981,1.1,0.9873125120721375,0.7708593666254036,0.2828280882341563,-0.012121387662524784,74049.91136847009,0.3,0.0223113448048834,-0.00040971459658731486,0.00502725089401957,1.1,0.9873125120721375,-0.0011297024115682773,0.013898630581895083,0,2.2500000000000004,19
10,Y,51,0.11281488266045499,0.00023500400184832718,1.0004455357965307,0.06454466553970156,99.32175182174636,0.2904662385707866,0.9995263738762631,0.7215602973788271,-0.005099760604888817,0.0002821043244172151,0.6168574235094606,0.021476689559491724,0.11281488266045499,0.00023500400184832718,99.32175182174636,0.2904662385707866,28.086699073676087,0.10084637745710076,0,23.193659929992915,19
10,Y,771,0.1129378535296488,0.0002210882008464202,0.5000000000000014,0.9407350896250978,99.676501388925,0.29786656399060973,0.9985487059745108,0.0022938647384230237,-0.005294400865676159,0.0002713172263646779,0.507917745213299,0.0274682476641723,0.1129378535296488,0.0002210882008464202,99.676501388925,0.29786656399060973,28.217741430872465,0.10080634682082097,0,41.48479355945524,19
10,Y,1631,0.11079932762112073,0.0002572834452258905,1.4910531274754373,0.5647005300774064,103.31944473696632,0.341336973817846,0.0081696466064905,0.02076474922289981,-0.005037212710299665,0.00027983744405240277,0.5759302289672512,0.02926625981097236,0.11079932762112073,0.0002572834452258905,103.31944473696632,0.341336973817846,28.69519118285538,0.1158747978076749,0,38.811786522697155,19
10,Y,2211,0.11126711822813085,0.0002202266098946431,1.000068033336318,0.018750815861681425,101.86043718318722,0.293739040186324,0.9900801033555016,0.7557731044683376,-0.005141579782131033,0.0002715809252631447,0.6039440848694362,0.020626513362855092,0.11126711822813085,0.0002202266098946431,101.86043718318722,0.293739040186324,28.409416257976762,0.09936568395745458,0,35.873813391548566,19
