fill,run,ls,nb,sec,msec,acqflag,step,beam,ip,scanstatus,plane,progress,nominal_separation,read_nominal_B1sepPlane,read_nominal_B1xingPlane,read_nominal_B2sepPlane,read_nominal_B2xingPlane,set_nominal_B1sepPlane,set_nominal_B1xingPlane,set_nominal_B2sepPlane,set_nominal_B2xingPlane
4266,254984,8,16,1440452175,201,1,0,3,2,ACQUIRING,SEPARATION,30,0,0.2644,-0.16693,-0.26432,0.16694,0,0,-0,0
4266,254984,8,20,1440452176,629,1,0,3,2,ACQUIRING,SEPARATION,28,0,0.2644,-0.16693,-0.26432,0.16694,0,0,-0,0
4266,254984,8,24,1440452178,46,1,0,3,2,ACQUIRING,SEPARATION,26,0,0.2644,-0.16693,-0.26432,0.16694,0,0,-0,0
4266,254984,8,28,1440452179,594,1,0,3,2,ACQUIRING,SEPARATION,25,0,0.2644,-0.16693,-0.26432,0.16694,0,0,-0,0
4266,254984,8,32,1440452181,22,1,0,3,2,ACQUIRING,SEPARATION,23,0,0.2644,-0.16693,-0.26432,0.16694,0,0,-0,0
4266,254984,8,36,1440452182,450,1,0,3,2,ACQUIRING,SEPARATION,22,0,0.2644,-0.16693,-0.26432,0.16694,0,0,-0,0
4266,254984,8,40,1440452183,885,1,0,3,2,ACQUIRING,SEPARATION,20,0,0.2644,-0.16693,-0.26432,0.16694,0,0,-0,0
4266,254984,8,44,1440452185,420,1,0,3,2,ACQUIRING,SEPARATION,19,0,0.2644,-0.16693,-0.26432,0.16694,0,0,-0,0
4266,254984,8,48,1440452186,848,1,0,3,2,ACQUIRING,SEPARATION,17,0,0.2644,-0.16693,-0.26432,0.16694,0,0,-0,0
4266,254984,8,52,1440452188,256,1,0,3,2,ACQUIRING,SEPARATION,16,0,0.2644,-0.16693,-0.26432,0.16694,0,0,-0,0
4266,254984,8,56,1440452189,772,1,0,3,2,ACQUIRING,SEPARATION,15,0,0.2644,-0.16693,-0.26432,0.16694,0,0,-0,0
4266,254984,8,60,1440452191,185,1,0,3,2,ACQUIRING,SEPARATION,13,0,0.2644,-0.16693,-0.26432,0.16694,0,0,-0,0
4266,254984,8,64,1440452192,706,1,0,3,2,ACQUIRING,SEPARATION,12,0,0.2644,-0.16693,-0.26432,0.16694,0,0,-0,0
4266,254984,9,4,1440452194,151,1,0,3,2,ACQUIRING,SEPARATION,10,0,0.2644,-0.16693,-0.26432,0.16694,0,0,-0,0
4266,254984,9,8,1440452195,565,1,0,3,2,ACQUIRING,SEPARATION,9,0,0.2644,-0.16693,-0.26432,0.16694,0,0,-0,0
