fill,run,ls,nb,sec,msec,acqflag,step,beam,ip,scanstatus,plane,progress,nominal_separation,read_nominal_B1sepPlane,read_nominal_B1xingPlane,read_nominal_B2sepPlane,read_nominal_B2xingPlane,set_nominal_B1sepPlane,set_nominal_B1xingPlane,set_nominal_B2sepPlane,set_nominal_B2xingPlane,bpm_5LDOROS_B1Names,bpm_5LDOROS_B1hPos,bpm_5LDOROS_B1vPos,bpm_5LDOROS_B1hErr,bpm_5LDOROS_B1vErr,bpm_5RDOROS_B1Names,bpm_5RDOROS_B1hPos,bpm_5RDOROS_B1vPos,bpm_5RDOROS_B1hErr,bpm_5RDOROS_B1vErr,bpm_5LDOROS_B2Names,bpm_5LDOROS_B2hPos,bpm_5LDOROS_B2vPos,bpm_5LDOROS_B2hErr,bpm_5LDOROS_B2vErr,bpm_5RDOROS_B2Names,bpm_5RDOROS_B2hPos,bpm_5RDOROS_B2vPos,bpm_5RDOROS_B2hErr,bpm_5RDOROS_B2vErr,atlas_totInst
4658,262548,115,64,1448446007,454,1,0,3,2,ACQUIRING,SEPARATION,10,0,-0.01702,-0.21945,0.01724,0.21964,0,0,-0,0,LHC.BPM.1L5.B1_DOROS,3443.85,-45.4145,447.11,544.766,LHC.BPM.1R5.B1_DOROS,3042.73,-406.333,413.241,496.808,LHC.BPM.1L5.B2_DOROS,-7990.83,90.3445,613.772,516.83,LHC.BPM.1R5.B2_DOROS,-3794.33,-511.981,658.054,532.203,0.00577132
4658,262548,116,4,1448446008,878,1,0,3,2,ACQUIRING,SEPARATION,8,0,-0.01702,-0.21945,0.01724,0.21964,0,0,-0,0,LHC.BPM.1L5.B1_DOROS,3443.75,-44.8915,439.561,537.852,LHC.BPM.1R5.B1_DOROS,3043.3,-406.066,416.831,500.963,LHC.BPM.1L5.B2_DOROS,-7990.18,90.1731,621.075,512.32,LHC.BPM.1R5.B2_DOROS,-3794.03,-511.916,646.448,526.073,0.00595777
4658,262548,116,8,1448446010,400,1,0,3,2,ACQUIRING,SEPARATION,7,0,-0.01702,-0.21945,0.01724,0.21964,0,0,-0,0,LHC.BPM.1L5.B1_DOROS,3444.52,-44.713,439.519,537.824,LHC.BPM.1R5.B1_DOROS,3043.11,-405.882,416.818,500.92,LHC.BPM.1L5.B2_DOROS,-7993.81,90.9048,620.802,511.859,LHC.BPM.1R5.B2_DOROS,-3795.34,-512.168,646.121,525.693,0.00598082
4658,262548,116,12,1448446011,815,1,0,3,2,ACQUIRING,SEPARATION,5,0,-0.01702,-0.21945,0.01724,0.21964,0,0,-0,0,LHC.BPM.1L5.B1_DOROS,3443.92,-44.6459,447.111,544.712,LHC.BPM.1R5.B1_DOROS,3042.96,-405.65,413.2,496.756,LHC.BPM.1L5.B2_DOROS,-7993.21,91.3085,613.43,516.245,LHC.BPM.1R5.B2_DOROS,-3795.25,-512.277,657.572,531.79,0.00570964
4658,262548,116,16,1448446013,330,1,0,3,2,ACQUIRING,SEPARATION,4,0,-0.01702,-0.21945,0.01724,0.21964,0,0,-0,0,LHC.BPM.1L5.B1_DOROS,3444.77,-44.6384,447.057,544.687,LHC.BPM.1R5.B1_DOROS,3043.41,-405.597,413.168,496.706,LHC.BPM.1L5.B2_DOROS,-7991.73,90.7326,613.337,516.209,LHC.BPM.1R5.B2_DOROS,-3794.6,-512.238,657.549,531.831,0.00565483
4658,262548,116,20,1448446014,749,1,0,3,2,ACQUIRING,SEPARATION,2,0,-0.01702,-0.21945,0.01724,0.21964,0,0,-0,0,LHC.BPM.1L5.B1_DOROS,3444.79,-44.3959,439.486,537.822,LHC.BPM.1R5.B1_DOROS,3043.68,-405.453,416.768,500.882,LHC.BPM.1L5.B2_DOROS,-7991.79,91.0022,620.629,511.653,LHC.BPM.1R5.B2_DOROS,-3794.76,-511.943,646.002,525.628,0.00565483
4658,262548,116,24,1448446016,162,1,0,3,2,ACQUIRING,SEPARATION,1,0,-0.01702,-0.21945,0.01724,0.21964,0,0,-0,0,LHC.BPM.1L5.B1_DOROS,3444.3,-44.0047,439.5,537.781,LHC.BPM.1R5.B1_DOROS,3043.69,-405.011,416.779,500.876,LHC.BPM.1L5.B2_DOROS,-7991.42,90.2854,620.628,511.735,LHC.BPM.1R5.B2_DOROS,-3795,-512.564,646.017,525.613,0.0054779
4658,262548,116,64,1448446030,811,1,1,3,2,ACQUIRING,SEPARATION,10,-0.08408,-0.05906,-0.21945,0.05928,0.21964,-0.04204,0,0.04204,0,LHC.BPM.1L5.B1_DOROS,3442.93,-39.2837,439.319,537.171,LHC.BPM.1R5.B1_DOROS,3043.2,-400.382,416.431,500.485,LHC.BPM.1L5.B2_DOROS,-7989.41,89.5818,620.443,511.942,LHC.BPM.1R5.B2_DOROS,-3792.88,-513.887,645.908,525.795,0.00189384
4658,262548,117,4,1448446032,227,1,1,3,2,ACQUIRING,SEPARATION,8,-0.08408,-0.05906,-0.21945,0.05928,0.21964,-0.04204,0,0.04204,0,LHC.BPM.1L5.B1_DOROS,3443.83,-40.1284,439.259,537.189,LHC.BPM.1R5.B1_DOROS,3042.95,-400.609,416.439,500.453,LHC.BPM.1L5.B2_DOROS,-7990.9,88.8514,620.459,511.988,LHC.BPM.1R5.B2_DOROS,-3793.18,-513.757,645.876,525.777,0.00189384
4658,262548,117,8,1448446033,642,1,1,3,2,ACQUIRING,SEPARATION,7,-0.08408,-0.05906,-0.21945,0.05928,0.21964,-0.04204,0,0.04204,0,LHC.BPM.1L5.B1_DOROS,3443.36,-39.9532,446.689,544.065,LHC.BPM.1R5.B1_DOROS,3043.47,-400.942,412.777,496.168,LHC.BPM.1L5.B2_DOROS,-7990.38,89.5241,613.185,516.163,LHC.BPM.1R5.B2_DOROS,-3793.45,-513.675,657.409,531.862,0.00177817
4658,262548,117,12,1448446035,163,1,1,3,2,ACQUIRING,SEPARATION,5,-0.08408,-0.05906,-0.21945,0.05928,0.21964,-0.04204,0,0.04204,0,LHC.BPM.1L5.B1_DOROS,3443.18,-39.6634,446.691,544.055,LHC.BPM.1R5.B1_DOROS,3043.19,-401.015,412.755,496.145,LHC.BPM.1L5.B2_DOROS,-7989.95,90.0586,612.876,515.895,LHC.BPM.1R5.B2_DOROS,-3792.8,-512.984,657.115,531.664,0.00205581
4658,262548,117,16,1448446036,579,1,1,3,2,ACQUIRING,SEPARATION,4,-0.08408,-0.05906,-0.21945,0.05928,0.21964,-0.04204,0,0.04204,0,LHC.BPM.1L5.B1_DOROS,3443.17,-40.3786,439.224,537.192,LHC.BPM.1R5.B1_DOROS,3042.95,-401.347,416.403,500.405,LHC.BPM.1L5.B2_DOROS,-7989.74,90.5181,620.023,511.502,LHC.BPM.1R5.B2_DOROS,-3792.66,-512.62,645.438,525.308,0.00175504
4658,262548,117,20,1448446038,94,1,1,3,2,ACQUIRING,SEPARATION,2,-0.08408,-0.05906,-0.21945,0.05928,0.21964,-0.04204,0,0.04204,0,LHC.BPM.1L5.B1_DOROS,3443.2,-41.4954,439.201,537.167,LHC.BPM.1R5.B1_DOROS,3043.12,-402.179,416.399,500.393,LHC.BPM.1L5.B2_DOROS,-7988.5,92.0139,619.954,511.348,LHC.BPM.1R5.B2_DOROS,-3792.45,-511.864,645.395,525.241,0.00175504
4658,262548,117,24,1448446039,508,1,1,3,2,ACQUIRING,SEPARATION,1,-0.08408,-0.05906,-0.21945,0.05928,0.21964,-0.04204,0,0.04204,0,LHC.BPM.1L5.B1_DOROS,3443.53,-41.6206,446.668,544.102,LHC.BPM.1R5.B1_DOROS,3042.81,-402.353,412.73,496.148,LHC.BPM.1L5.B2_DOROS,-7988.24,91.8133,612.69,515.645,LHC.BPM.1R5.B2_DOROS,-3792.08,-511.569,656.89,531.406,0.00205581
4658,262548,117,28,1448446040,924,1,3,3,2,ACQUIRING,SEPARATION,5,-0.0688,-0.05142,-0.21945,0.05164,0.21964,-0.0344,0,0.0344,0,LHC.BPM.1L5.B1_DOROS,3442.89,-52.0915,438.722,537.051,LHC.BPM.1R5.B1_DOROS,3042.67,-412.789,416.023,500.142,LHC.BPM.1L5.B2_DOROS,-7987.8,92.5453,619.318,510.838,LHC.BPM.1R5.B2_DOROS,-3790.33,-511.013,644.743,524.766,0.00260805
4658,262548,117,32,1448446042,438,1,3,3,2,ACQUIRING,SEPARATION,5,-0.0688,-0.05142,-0.21945,0.05164,0.21964,-0.0344,0,0.0344,0,LHC.BPM.1L5.B1_DOROS,3442.89,-52.0915,438.722,537.051,LHC.BPM.1R5.B1_DOROS,3042.67,-412.789,416.023,500.142,LHC.BPM.1L5.B2_DOROS,-7987.8,92.5453,619.318,510.838,LHC.BPM.1R5.B2_DOROS,-3790.33,-511.013,644.743,524.766,0.00260805
4658,262548,117,36,1448446043,850,1,3,3,2,ACQUIRING,SEPARATION,5,-0.0688,-0.05142,-0.21945,0.05164,0.21964,-0.0344,0,0.0344,0,LHC.BPM.1L5.B1_DOROS,3442.89,-52.0915,438.722,537.051,LHC.BPM.1R5.B1_DOROS,3042.67,-412.789,416.023,500.142,LHC.BPM.1L5.B2_DOROS,-7987.8,92.5453,619.318,510.838,LHC.BPM.1R5.B2_DOROS,-3790.33,-511.013,644.743,524.766,0.00260805
4658,262548,117,40,1448446045,363,1,3,3,2,ACQUIRING,SEPARATION,5,-0.0688,-0.05142,-0.21945,0.05164,0.21964,-0.0344,0,0.0344,0,LHC.BPM.1L5.B1_DOROS,3442.89,-52.0915,438.722,537.051,LHC.BPM.1R5.B1_DOROS,3042.67,-412.789,416.023,500.142,LHC.BPM.1L5.B2_DOROS,-7987.8,92.5453,619.318,510.838,LHC.BPM.1R5.B2_DOROS,-3790.33,-511.013,644.743,524.766,0.00260805
